Log file started Fri Jan 07 18:48:50 2011
Fri Jan 07 18:51:01 2011: Client 2: read CMD_KEY (10)
Fri Jan 07 18:51:01 2011: Client 2: read CMD_KEY (8)
Fri Jan 07 18:51:01 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:51:01 2011: Client 2: read CMD_KEY (9)
Fri Jan 07 18:51:01 2011: Client 1: read CMD_KEY (5)
Fri Jan 07 18:51:01 2011: Client 2: read CMD_KEY (1)
Fri Jan 07 18:51:01 2011: Client 1: read CMD_KEY (1)
Fri Jan 07 18:51:02 2011: Client 2: read CMD_KEY (5)
Fri Jan 07 18:51:02 2011: Client 1: read CMD_KEY (5)
Fri Jan 07 18:51:02 2011: Client 2: read CMD_KEY (4)
Fri Jan 07 18:51:02 2011: Client 1: read CMD_KEY (4)
Fri Jan 07 18:51:02 2011: Client 2: read CMD_KEY (6)
Fri Jan 07 18:51:03 2011: Client 1: read CMD_KEY (6)
Fri Jan 07 18:51:03 2011: Client 2: read CMD_KEY (2)
Fri Jan 07 18:51:03 2011: Client 2: read CMD_KEY (10)
Fr
