Log file started Fri Jan 07 18:21:57 2011
Fri Jan 07 18:26:30 2011: Client 2: Read key 1
Fri Jan 07 18:26:30 2011: Client 2: Read key 5
Fri Jan 07 18:26:31 2011: Client 2: Read key 13
Fri Jan 07 18:26:31 2011: Client 1: Read key 6
Fri Jan 07 18:26:31 2011: Client 1: Read key 4
Fri Jan 07 18:26:32 2011: Client 1: Read key 1
Fri Jan 07 18:26:32 2011: Client 2: Read key 9
Fri Jan 07 18:26:32 2011: Client 1: Read key 5
Fri Jan 07 18:26:32 2011: Client 2: Read key 8
Fri Jan 07 18:26:32 2011: Client 1: Read key 4
Fri Jan 07 18:26:32 2011: Client 2: Read key 14
Fri Jan 07 18:26:32 2011: Client 1: Read key 12
Fri Jan 07 18:26:32 2011: Client 2: Read key 10
Fri Jan 07 18:26:32 2011: Client 1: Read key 14
Fri Jan 07 18:26:32 2011: Client 2: Read key 2
Fri Jan 07 18:26:32 2011: Client 1: Read key 10
Fri Jan 07 18:26:32 2011: Client 1: Read key 2
Fri Jan 07 18:26:32 2011: Client 2: Read key 6
Fri Jan 07 18:26:33 2011: Client 1: Read key 6
Fri Jan 07 18:26:33 2011: Client 2: Read key 14
Fri Jan 07 18:26:33 2011: Client 1: Read key 4
Fri Jan 07 18:26:33 2011: Client 2: Read key 8
Fri Jan 07 18:26:34 2011: Client 1: Read key 1
Fri Jan 07 18:26:35 2011: Client 2: Read key 4
Fri Jan 07 18:26:35 2011: Client 2: Read key 0
Fri Jan 07 18:26:35 2011: Client 1: Read key 8
Fri Jan 07 18:26:35 2011: Client 2: Read key 2
Fri Jan 07 18:26:36 2011: Client 2: Read key 4
Fri Jan 07 18:26:36 2011: Client 2: Read key 6
Fri Jan 07 18:26:37 2011: Client 1: Read key 12
Fri Jan 07 18:26:37 2011: Client 1: Read key 13
Fri Jan 07 18:26:37 2011: Client 1: Read key 9
Fri Jan 07 18:26:38 2011: Client 1: Read key 13
Fri Jan 07 18:26:38 2011: Client 1: Read key 4
Fri Jan 07 18:26:39 2011: Client 2: Read key 10
Fri Jan 07 18:26:39 2011: Client 2: Read key 8
Fri Jan 07 18:26:39 2011: Client 1: Read key 2
Fri Jan 07 18:26:39 2011: Client 2: Read key 9
Fri Jan 07 18:26:40 2011: Client 1: Read key 0
Fri Jan 07 18:26:40 2011: Client 1: Read key 2
Fri Jan 07 18:26:41 2011: Client 1: Read key 0
Fri Jan 07 18:26:41 2011: Client 2: Read key 1
Fri Jan 07 18:26:46 2011: Client 1: Read key 2
Fri Jan 07 18:26:46 2011: Client 1: Read key 0
Fri Jan 07 18:26:47 2011: Client 1: Read key 4
Fri Jan 07 18:26:47 2011: Client 1: Read key 1
Fri Jan 07 18:26:47 2011: Client 1: Read key 0
Fri Jan 07 18:26:48 2011: Client 2: Read key 2
Fri Jan 07 18:26:49 2011: Client 2: Read key 0
Fri Jan 07 18:26:50 2011: Client 2: Read key 2
Fri Jan 07 18:26:50 2011: Client 2: Read key 0
Fri Jan 07 18:26:51 2011: Client 2: Read key 2
Fri Jan 07 18:26:55 2011: Client 2: Read key 0
Fri Jan 07 18:26:57 2011: Client 2: Read key 2
